Sub_L [mm];Sub_W [mm];Sub_H [mm];R_out [mm];Ring_W [mm];Gap_W [mm];S [mm];t [mm];MS_W [mm];Freq [GHz];S(1,1) (Real);S(1,1) (Imag);S(1,2) (Real);S(1,2) (Imag);S(2,1) (Real);S(2,1) (Imag);S(2,2) (Real);S(2,2) (Imag)
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.46;0.1506975859806326;-0.10496677457296937;-0.6960764523101135;-0.6553845037013472;-0.6960764523100984;-0.6553845037013393;0.10348757836887292;-0.14722970024187435
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.47;0.14923443938864286;-0.10703486450006898;-0.7068033405499523;-0.6434783336496687;-0.7068033405499363;-0.6434783336496609;0.10038127092242842;-0.14929595073018842
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.48;0.1477393877731823;-0.10907161285370619;-0.7173333950915594;-0.6313931682314248;-0.7173333950915438;-0.6313931682314172;0.09721743499223962;-0.1512961933744582
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.49;0.1462134880616122;-0.11107652626422801;-0.7276636116292501;-0.6191319639984835;-0.7276636116292348;-0.6191319639984763;0.09399752800997979;-0.1532289651407455
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.5;0.14465780552590324;-0.11304914889192945;-0.7377910211528627;-0.606697726878939;-0.7377910211528468;-0.6066977268789315;0.09072303875751242;-0.15509283628128945
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.51;0.14307341257171816;-0.11498906259492526;-0.7477126906938113;-0.5940935120267459;-0.747712690693796;-0.5940935120267385;0.08739548652874417;-0.15688641082410845
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.52;0.1414613875229909;-0.11689588706102672;-0.7574257240819623;-0.5813224236614685;-0.7574257240819465;-0.5813224236614615;0.08401642028863601;-0.15860832703685385
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.53;0.13982281340303024;-0.11876927990347501;-0.7669272627131126;-0.5683876148974639;-0.7669272627130972;-0.5683876148974569;0.0805874178302801;-0.16025725786500672
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.54;0.13815877671319218;-0.12060893672040869;-0.7762144863268027;-0.5552922875618603;-0.7762144863267879;-0.5552922875618537;0.07711008493094539;-0.16183191134453662
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.55;0.1364703662101766;-0.12241459111797422;-0.7852846137941746;-0.5420396920007087;-0.7852846137941588;-0.542039692000702;0.07358605450800056;-0.16333103098917498
